	的中数	的中率(%)	回収率(%)
単勝	24	100.0	1452.9166666666667
複勝	72	100.0	397.3611111111111
馬連	1	4.166666666666667	143.33333333333334
ワイド	0	0.0	0.0
馬単	1	4.166666666666667	201.25
３連複	0	0.0	0.0
