	的中数	的中率(%)	回収率(%)
単勝	4	11.11111111111111	64.16666666666667
複勝	40	37.03703703703704	127.03703703703704
馬連	2	5.555555555555555	95.55555555555556
ワイド	0	0.0	0.0
馬単	1	2.7777777777777777	166.11111111111111
３連複	0	0.0	0.0
