	的中数	的中率(%)	回収率(%)
単勝	14	21.53846153846154	83.84615384615384
複勝	82	42.05128205128205	80.15384615384616
馬連	6	9.23076923076923	39.53846153846154
ワイド	0	0.0	0.0
馬単	3	4.615384615384615	50.0
３連複	1	1.5384615384615385	438.30769230769226
