	的中数	的中率(%)	回収率(%)
単勝	14	46.666666666666664	498.99999999999994
複勝	48	53.333333333333336	227.77777777777777
馬連	1	3.3333333333333335	9.0
ワイド	0	0.0	0.0
馬単	0	0.0	0.0
３連複	2	6.666666666666667	327.0
