	的中数	的中率(%)	回収率(%)
単勝	16	41.02564102564103	258.2051282051282
複勝	75	64.1025641025641	152.13675213675214
馬連	0	0.0	0.0
ワイド	0	0.0	0.0
馬単	0	0.0	0.0
３連複	0	0.0	0.0
