	的中数	的中率(%)	回収率(%)
単勝	22	100.0	1355.909090909091
複勝	66	100.0	313.6363636363636
馬連	0	0.0	0.0
ワイド	0	0.0	0.0
馬単	0	0.0	0.0
３連複	0	0.0	0.0
