	的中数	的中率(%)	回収率(%)
単勝	54	100.0	912.7777777777778
複勝	162	100.0	293.0246913580247
馬連	1	1.8518518518518519	2.962962962962963
ワイド	0	0.0	0.0
馬単	0	0.0	0.0
３連複	0	0.0	0.0
