	的中数	的中率(%)	回収率(%)
単勝	17	100.0	1259.4117647058827
複勝	51	100.0	371.1764705882353
馬連	0	0.0	0.0
ワイド	0	0.0	0.0
馬単	0	0.0	0.0
３連複	0	0.0	0.0
