	的中数	的中率(%)	回収率(%)
単勝	11	18.0327868852459	69.8360655737705
複勝	71	38.79781420765027	88.68852459016394
馬連	3	4.918032786885246	102.45901639344262
ワイド	0	0.0	0.0
馬単	2	3.278688524590164	176.5573770491803
３連複	1	1.639344262295082	56.88524590163935
