	的中数	的中率(%)	回収率(%)
単勝	84	100.0	643.6904761904763
複勝	252	100.0	330.1587301587301
馬連	0	0.0	0.0
ワイド	0	0.0	0.0
馬単	0	0.0	0.0
３連複	0	0.0	0.0
