	的中数	的中率(%)	回収率(%)
単勝	13	25.49019607843137	225.49019607843138
複勝	61	39.869281045751634	91.30718954248366
馬連	1	1.9607843137254901	81.76470588235294
ワイド	0	0.0	0.0
馬単	1	1.9607843137254901	141.1764705882353
３連複	0	0.0	0.0
