	的中数	的中率(%)	回収率(%)
単勝	51	100.0	688.8235294117648
複勝	153	100.0	292.09150326797385
馬連	0	0.0	0.0
ワイド	0	0.0	0.0
馬単	0	0.0	0.0
３連複	0	0.0	0.0
