	的中数	的中率(%)	回収率(%)
単勝	11	22.916666666666668	123.54166666666667
複勝	63	43.75	91.31944444444444
馬連	2	4.166666666666667	20.208333333333332
ワイド	0	0.0	0.0
馬単	2	4.166666666666667	54.166666666666664
３連複	1	2.0833333333333335	20.0
