	的中数	的中率(%)	回収率(%)
単勝	8	14.035087719298245	261.7543859649123
複勝	85	49.707602339181285	138.42105263157896
馬連	1	1.7543859649122806	12.631578947368421
ワイド	0	0.0	0.0
馬単	1	1.7543859649122806	15.087719298245615
３連複	0	0.0	0.0
