	的中数	的中率(%)	回収率(%)
単勝	14	100.0	3002.8571428571427
複勝	42	100.0	375.7142857142857
馬連	0	0.0	0.0
ワイド	0	0.0	0.0
馬単	0	0.0	0.0
３連複	0	0.0	0.0
