	的中数	的中率(%)	回収率(%)
単勝	7	38.888888888888886	190.55555555555554
複勝	30	55.55555555555556	111.85185185185185
馬連	1	5.555555555555555	81.11111111111111
ワイド	0	0.0	0.0
馬単	0	0.0	0.0
３連複	2	11.11111111111111	290.55555555555554
