	的中数	的中率(%)	回収率(%)
単勝	4	17.391304347826086	139.1304347826087
複勝	27	39.130434782608695	118.1159420289855
馬連	0	0.0	0.0
ワイド	0	0.0	0.0
馬単	0	0.0	0.0
３連複	0	0.0	0.0
