	的中数	的中率(%)	回収率(%)
単勝	2	5.0	45.25000000000001
複勝	38	31.666666666666664	83.5
馬連	0	0.0	0.0
ワイド	0	0.0	0.0
馬単	0	0.0	0.0
３連複	0	0.0	0.0
