	的中数	的中率(%)	回収率(%)
単勝	22	30.136986301369863	170.00000000000003
複勝	132	60.273972602739725	146.80365296803652
馬連	0	0.0	0.0
ワイド	0	0.0	0.0
馬単	0	0.0	0.0
３連複	2	2.73972602739726	44.38356164383562
