	的中数	的中率(%)	回収率(%)
単勝	15	23.076923076923077	75.84615384615384
複勝	105	53.84615384615385	83.74358974358974
馬連	10	15.384615384615385	53.230769230769226
ワイド	0	0.0	0.0
馬単	3	4.615384615384615	28.61538461538462
３連複	5	7.6923076923076925	75.53846153846153
