	的中数	的中率(%)	回収率(%)
単勝	2	13.333333333333334	62.00000000000001
複勝	22	48.888888888888886	103.11111111111111
馬連	0	0.0	0.0
ワイド	0	0.0	0.0
馬単	0	0.0	0.0
３連複	0	0.0	0.0
