競馬場	開催年	開催日	レース番号	芝ダ区分	距離	馬番	馬名	単勝オッズ	人気順	確定着順	予測順位	予測スコア	複勝1着馬番	複勝1着オッズ	複勝1着人気	複勝2着馬番	複勝2着オッズ	複勝2着人気	複勝3着馬番	複勝3着オッズ	複勝3着人気	馬連馬番1	馬連馬番2	馬連オッズ	ワイド1_2馬番1	ワイド1_2馬番2	ワイド2_3着馬番1	ワイド2_3着馬番2	ワイド1_3着馬番1	ワイド1_3着馬番2	ワイド1_2オッズ	ワイド2_3オッズ	ワイド1_3オッズ	馬単馬番1	馬単馬番2	馬単オッズ	３連複オッズ
東京	2023	128	9	ダート	1600	8	モズピンポン　　　　　　　　　　　　	105.4	11	15	13	0.4908931047264403	3	1.1	1	9	8.9	10	10	3.5	5	3	9	65.6	3	9	3	10	9	10	20.5	6.2	120.3	3	9	77.3	209.9
東京	2023	128	9	ダート	1600	9	ドンカポノ　　　　　　　　　　　　　	138.3	13	2	15	0.49062019351146546	3	1.1	1	9	8.9	10	10	3.5	5	3	9	65.6	3	9	3	10	9	10	20.5	6.2	120.3	3	9	77.3	209.9
東京	2023	128	9	ダート	1600	10	ジョディーズマロン　　　　　　　　　	23.3	5	3	5	0.5011097760817266	3	1.1	1	9	8.9	10	10	3.5	5	3	9	65.6	3	9	3	10	9	10	20.5	6.2	120.3	3	9	77.3	209.9
東京	2023	128	9	ダート	1600	11	クリーンスレイト　　　　　　　　　　	4.9	2	11	4	0.5016153735565809	3	1.1	1	9	8.9	10	10	3.5	5	3	9	65.6	3	9	3	10	9	10	20.5	6.2	120.3	3	9	77.3	209.9
東京	2023	128	9	ダート	1600	12	カシノブレンド　　　　　　　　　　　	145.1	14	10	9	0.4927239998239069	3	1.1	1	9	8.9	10	10	3.5	5	3	9	65.6	3	9	3	10	9	10	20.5	6.2	120.3	3	9	77.3	209.9
東京	2023	128	9	ダート	1600	13	ケイアイロベージ　　　　　　　　　　	9.8	3	4	9	0.4927239998239069	3	1.1	1	9	8.9	10	10	3.5	5	3	9	65.6	3	9	3	10	9	10	20.5	6.2	120.3	3	9	77.3	209.9
東京	2023	128	9	ダート	1600	14	ダッチマン　　　　　　　　　　　　　	97.0	10	7	7	0.4971958810852451	3	1.1	1	9	8.9	10	10	3.5	5	3	9	65.6	3	9	3	10	9	10	20.5	6.2	120.3	3	9	77.3	209.9
東京	2023	128	9	ダート	1600	15	グランツアーテム　　　　　　　　　　	12.8	4	8	6	0.5008896291905637	3	1.1	1	9	8.9	10	10	3.5	5	3	9	65.6	3	9	3	10	9	10	20.5	6.2	120.3	3	9	77.3	209.9
東京	2023	129	4	ダート	1600	1	サイモンソーラン　　　　　　　　　　	42.4	10	8	9	0.4926984844120173	15	1.5	1	16	2.2	4	10	3.7	7	15	16	10.9	15	16	10	15	10	16	4.4	9.7	10.0	15	16	25.6	47.5
東京	2023	129	4	ダート	1600	2	エコロエース　　　　　　　　　　　　	114.7	12	10	13	0.49062019351146546	15	1.5	1	16	2.2	4	10	3.7	7	15	16	10.9	15	16	10	15	10	16	4.4	9.7	10.0	15	16	25.6	47.5
東京	2023	129	4	ダート	1600	3	ブラックルパン　　　　　　　　　　　	202.8	13	9	10	0.4922317075909377	15	1.5	1	16	2.2	4	10	3.7	7	15	16	10.9	15	16	10	15	10	16	4.4	9.7	10.0	15	16	25.6	47.5
東京	2023	129	4	ダート	1600	4	リュウノブレイク　　　　　　　　　　	3.6	2	12	2	0.5045368401865451	15	1.5	1	16	2.2	4	10	3.7	7	15	16	10.9	15	16	10	15	10	16	4.4	9.7	10.0	15	16	25.6	47.5
