競馬場	開催年	開催日	レース番号	芝ダ区分	距離	馬番	馬名	単勝オッズ	人気順	確定着順	予測順位	予測スコア	複勝1着馬番	複勝1着オッズ	複勝1着人気	複勝2着馬番	複勝2着オッズ	複勝2着人気	複勝3着馬番	複勝3着オッズ	複勝3着人気	馬連馬番1	馬連馬番2	馬連オッズ	ワイド1_2馬番1	ワイド1_2馬番2	ワイド2_3着馬番1	ワイド2_3着馬番2	ワイド1_3着馬番1	ワイド1_3着馬番2	ワイド1_2オッズ	ワイド2_3オッズ	ワイド1_3オッズ	馬単馬番1	馬単馬番2	馬単オッズ	３連複オッズ
東京	2023	129	10	芝	1600	1	ルーカス　　　　　　　　　　　　　　	67.2	8	2	11	0.4696251181505077	4	1.1	1	1	9.2	9	2.0	3.9	7.0	1	4	47.8	1	4	2	4	1	2	16.7	7.3	60.3	4	1	50.5	153.9
東京	2023	129	10	芝	1600	2	アオイシンゴ　　　　　　　　　　　　	32.9	7	3	5	0.506426970416499	4	1.1	1	1	9.2	9	2.0	3.9	7.0	1	4	47.8	1	4	2	4	1	2	16.7	7.3	60.3	4	1	50.5	153.9
東京	2023	129	10	芝	1600	3	ベジャール　　　　　　　　　　　　　	12.1	4	7	9	0.474335483248571	4	1.1	1	1	9.2	9	2.0	3.9	7.0	1	4	47.8	1	4	2	4	1	2	16.7	7.3	60.3	4	1	50.5	153.9
東京	2023	129	10	芝	1600	4	レッドモンレーヴ　　　　　　　　　　	2.0	1	1	2	0.5149208301600132	4	1.1	1	1	9.2	9	2.0	3.9	7.0	1	4	47.8	1	4	2	4	1	2	16.7	7.3	60.3	4	1	50.5	153.9
東京	2023	129	10	芝	1600	5	ダンテスヴュー　　　　　　　　　　　	5.7	3	8	10	0.4732643388123264	4	1.1	1	1	9.2	9	2.0	3.9	7.0	1	4	47.8	1	4	2	4	1	2	16.7	7.3	60.3	4	1	50.5	153.9
東京	2023	129	10	芝	1600	6	リーガルバトル　　　　　　　　　　　	171.8	11	9	8	0.4790892267468014	4	1.1	1	1	9.2	9	2.0	3.9	7.0	1	4	47.8	1	4	2	4	1	2	16.7	7.3	60.3	4	1	50.5	153.9
東京	2023	129	10	芝	1600	7	アヴェラーレ　　　　　　　　　　　　	3.3	2	4	1	0.5218037926353325	4	1.1	1	1	9.2	9	2.0	3.9	7.0	1	4	47.8	1	4	2	4	1	2	16.7	7.3	60.3	4	1	50.5	153.9
東京	2023	129	10	芝	1600	8	ソウルトレイン　　　　　　　　　　　	17.1	6	5	3	0.5121533273071806	4	1.1	1	1	9.2	9	2.0	3.9	7.0	1	4	47.8	1	4	2	4	1	2	16.7	7.3	60.3	4	1	50.5	153.9
東京	2023	129	10	芝	1600	9	オーバーディリバー　　　　　　　　　	76.3	9	10	6	0.4904550481956637	4	1.1	1	1	9.2	9	2.0	3.9	7.0	1	4	47.8	1	4	2	4	1	2	16.7	7.3	60.3	4	1	50.5	153.9
東京	2023	129	10	芝	1600	10	パーソナルハイ　　　　　　　　　　　	14.0	5	6	12	0.4097056483337241	4	1.1	1	1	9.2	9	2.0	3.9	7.0	1	4	47.8	1	4	2	4	1	2	16.7	7.3	60.3	4	1	50.5	153.9
東京	2023	129	10	芝	1600	11	ストライプ　　　　　　　　　　　　　	102.7	10	12	7	0.4799766348933526	4	1.1	1	1	9.2	9	2.0	3.9	7.0	1	4	47.8	1	4	2	4	1	2	16.7	7.3	60.3	4	1	50.5	153.9
東京	2023	129	10	芝	1600	12	トーセンヴァンノ　　　　　　　　　　	208.4	12	11	4	0.5103316480285693	4	1.1	1	1	9.2	9	2.0	3.9	7.0	1	4	47.8	1	4	2	4	1	2	16.7	7.3	60.3	4	1	50.5	153.9
東京	2023	129	12	芝	2000	1	ナックイルシーブ　　　　　　　　　　	93.5	7	8	9	0.4686835767069656	4	1.4	3	10	1.1	1	7.0	1.2	2.0	4	10	7.6	4	10	4	7	7	10	2.4	2.8	1.8	4	10	16.7	6.3
東京	2023	129	12	芝	2000	2	アトラクティーボ　　　　　　　　　　	99.8	8	10	10	0.4680196986175524	4	1.4	3	10	1.1	1	7.0	1.2	2.0	4	10	7.6	4	10	4	7	7	10	2.4	2.8	1.8	4	10	16.7	6.3
東京	2023	129	12	芝	2000	3	エクセレントラン　　　　　　　　　　	137.2	10	11	6	0.4818440446312348	4	1.4	3	10	1.1	1	7.0	1.2	2.0	4	10	7.6	4	10	4	7	7	10	2.4	2.8	1.8	4	10	16.7	6.3
東京	2023	129	12	芝	2000	4	サウンドウォリアー　　　　　　　　　	5.0	3	1	5	0.4966177660575641	4	1.4	3	10	1.1	1	7.0	1.2	2.0	4	10	7.6	4	10	4	7	7	10	2.4	2.8	1.8	4	10	16.7	6.3
東京	2023	129	12	芝	2000	5	セラフィナイト　　　　　　　　　　　	5.8	4	6	1	0.5143603636790903	4	1.4	3	10	1.1	1	7.0	1.2	2.0	4	10	7.6	4	10	4	7	7	10	2.4	2.8	1.8	4	10	16.7	6.3
東京	2023	129	12	芝	2000	6	タケルジャック　　　　　　　　　　　	130.0	9	9	4	0.4975232313971992	4	1.4	3	10	1.1	1	7.0	1.2	2.0	4	10	7.6	4	10	4	7	7	10	2.4	2.8	1.8	4	10	16.7	6.3
東京	2023	129	12	芝	2000	7	ボーンディスウェイ　　　　　　　　　	3.0	2	3	3	0.5006941696806322	4	1.4	3	10	1.1	1	7.0	1.2	2.0	4	10	7.6	4	10	4	7	7	10	2.4	2.8	1.8	4	10	16.7	6.3
東京	2023	129	12	芝	2000	8	ミズリーナ　　　　　　　　　　　　　	139.7	11	4	11	0.4660749555514395	4	1.4	3	10	1.1	1	7.0	1.2	2.0	4	10	7.6	4	10	4	7	7	10	2.4	2.8	1.8	4	10	16.7	6.3
東京	2023	129	12	芝	2000	9	キャルレイ　　　　　　　　　　　　　	7.2	5	5	7	0.4808290785457561	4	1.4	3	10	1.1	1	7.0	1.2	2.0	4	10	7.6	4	10	4	7	7	10	2.4	2.8	1.8	4	10	16.7	6.3
